が	画	Drawing	kanji	が:on, かく:on
ち	知	Know	kanji	ち:on, し:kun
か	化	Change	kanji	か:on, ば:kun
ち	地	Earth	kanji	ち:on, じ:on
りょう	両	Both	kanji	りょう:on
ぜん	全	All	kanji	ぜん:on, すべ:kun, まった:kun
こう	向	Yonder	kanji	こう:on, む:kun, なた:nan
あん	安	Relax	kanji	あん:on, やす:kun
しゅう	州	State	kanji	しゅう:on
きょく	曲	Music	kanji	きょく:on, ま:kun
ゆう	有	Have	kanji	ゆう:on, う:on, あ:kun
じ	次	Next	kanji	じ:on, つぎ:kun
し	死	Death	kanji	し:on, し:kun
よう	羊	Sheep	kanji	よう:on, ひつじ:kun
けつ	血	Blood	kanji	けつ:on, ち:kun
きょう	京	Capital	kanji	きょう:on, みやこ:kun
こく	国	Country	kanji	こく:on, くに:kun
や	夜	Night	kanji	や:on, よ:kun, よる:kun
まい	妹	Younger Sister	kanji	まい:on, いもうと:kun
し	姉	Older Sister	kanji	し:on, お:kun, あね:kun, ねえ:kun
てん	店	Shop	kanji	てん:on, みせ:kun
めい	明	Bright	kanji	めい:on, あ:kun, あか:kun, あき:kun
とう	東	East	kanji	とう:on, ひがし:kun
ほ	歩	Walk	kanji	ほ:on, ある:kun, あゆ:kun
ちょく	直	Fix	kanji	ちょく:on, じき:on, なお:kun
ちょう	長	Long	kanji	ちょう:on, なが:kun, は:nan
ぜん	前	Front	kanji	ぜん:on, まえ:kun
なん	南	South	kanji	なん:on, みなみ:kun
しつ	室	Room	kanji	しつ:on
ご	後	Behind	kanji	ご:on, こう:on, うし:kun, あと:kun, のち:kun
し	思	Think	kanji	し:on, おも:kun
せい	星	Star	kanji	せい:on, ほし:kun
かつ	活	Lively	kanji	かつ:on, い:kun
かい	海	Sea	kanji	かい:on, うみ:kun
てん	点	Point	kanji	てん:on, つ:kun
か	科	Course	kanji	か:on
ちゃ	茶	Tea	kanji	ちゃ:on, さ:on
しょく	食	Eat	kanji	しょく:on, た:kun, く:kun
くび	首	Neck	kanji	くび:kun, しゅ:on
ぼう	亡	Death	kanji	ぼう:on, な:kun
し	私	I	kanji	し:on, わたし:kun
し	氏	Family Name	kanji	し:on, うじ:kun
けつ	欠	Lack	kanji	けつ:on, か:kun
みん	民	Peoples	kanji	みん:on, たみ:kun
しつ	失	Fault	kanji	しつ:on, うしな:kun
ひつ	必	Certain	kanji	ひつ:on, かなら:kun
つう	通	Pass Through	kanji	つう:on, とお:kun, かよ:kun
ゆう	由	Reason	kanji	ゆう:on, よし:kun, よ:kun
さつ	札	Bill	kanji	さつ:on, ふだ:kun
へん	辺	Area	kanji	へん:on, あた:kun, べ:kun
つ	付	Attach	kanji	つ:kun, ふ:on
い	以	From	kanji	い:on
み	未	Not Yet	kanji	み:on, ま:kun, いま:kun, ひつじ:kun
まつ	末	End	kanji	まつ:on, すえ:kun
こう	校	School	kanji	こう:on
なつ	夏	Summer	kanji	なつ:kun, げ:on, か:on, が:on
か	家	House	kanji	か:on, け:on, いえ:kun, や:kun, うち:kun
じゃく	弱	Weak	kanji	じゃく:on, よわ:kun
